transaction_id,date,timestamp,account_id,fi_type,direction,mode,amount,narration,balance_after
TXN_AARAV_SRC_DEPOSIT_20250601_0042,2025-06-01,2025-06-01T20:50:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,398.00,UPI/DE/CIGARETTE SHOP,359602.00
TXN_AARAV_SRC_DEPOSIT_20250602_0063,2025-06-02,2025-06-02T09:38:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,478.00,UPI/DE/UBER/BANGALORE,359124.00
TXN_AARAV_SRC_DEPOSIT_20250602_0061,2025-06-02,2025-06-02T10:32:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,174.00,UPI/DE/THIRD WAVE COFFEE/BANGALORE,358950.00
TXN_AARAV_SRC_DEPOSIT_20250602_0027,2025-06-02,2025-06-02T12:42:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,541.00,UPI/DE/OM MEDICALS,358409.00
TXN_AARAV_SRC_DEPOSIT_20250602_0062,2025-06-02,2025-06-02T13:39:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,400.00,UPI/DE/SWIGGY/BANGALORE,358009.00
TXN_AARAV_SRC_DEPOSIT_20250602_0057,2025-06-02,2025-06-02T19:11:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,433.00,UPI/DE/CIGARETTE SHOP,357576.00
TXN_AARAV_SRC_DEPOSIT_20250602_0064,2025-06-02,2025-06-02T20:39:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,498.00,UPI/DE/ZOMATO/BANGALORE,357078.00
TXN_AARAV_SRC_DEPOSIT_20250603_0067,2025-06-03,2025-06-03T09:32:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,469.00,UPI/DE/UBER/BANGALORE,356609.00
TXN_AARAV_SRC_DEPOSIT_20250603_0065,2025-06-03,2025-06-03T10:03:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,210.00,UPI/DE/THIRD WAVE COFFEE/BANGALORE,356399.00
TXN_AARAV_SRC_DEPOSIT_20250603_0066,2025-06-03,2025-06-03T13:07:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,505.00,UPI/DE/SWIGGY/BANGALORE,355894.00
TXN_AARAV_SRC_DEPOSIT_20250604_0068,2025-06-04,2025-06-04T10:13:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,200.00,UPI/DE/THIRD WAVE COFFEE/BANGALORE,355694.00
TXN_AARAV_SRC_DEPOSIT_20250604_0050,2025-06-04,2025-06-04T12:28:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,179.00,UPI/DE/OM MEDICALS,355515.00
TXN_AARAV_SRC_DEPOSIT_20250604_0069,2025-06-04,2025-06-04T13:45:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,467.00,UPI/DE/SWIGGY/BANGALORE,355048.00
TXN_AARAV_SRC_DEPOSIT_20250604_0048,2025-06-04,2025-06-04T17:36:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,662.00,UPI/DE/DR SHARMA CLINIC,354386.00
TXN_AARAV_SRC_DEPOSIT_20250604_0039,2025-06-04,2025-06-04T19:01:00+05:30,acc_deposit_aarav_hdfc_0001,deposit,DEBIT,UPI,88.00,UPI/DE/AUTO RAMESH,354298.00
