transaction_id,date,timestamp,account_id,fi_type,direction,mode,amount,narration,balance_after
TXN_PRIYA_SRC_DEPOSIT_20250603_0003,2025-06-03,2025-06-03T10:05:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,68000.00,UPI/DE/RENT TO LANDLORD/2025-06,342000.00
TXN_PRIYA_SRC_DEPOSIT_20250605_0012,2025-06-05,2025-06-05T08:45:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,CARD,75.00,CARD/DE/ICLOUD,341925.00
TXN_PRIYA_SRC_DEPOSIT_20250605_0018,2025-06-05,2025-06-05T12:11:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,481.00,UPI/DE/GIFT PALACE,341444.00
TXN_PRIYA_SRC_DEPOSIT_20250606_0038,2025-06-06,2025-06-06T09:45:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,NACH,28000.00,NACH/DE/ICICI PRUDENTIAL BLUECHIP/2025-06,313444.00
TXN_PRIYA_SRC_MUTUAL_FUNDS_20250606_0039,2025-06-06,2025-06-06T10:30:00+05:30,acc_mf_priya_hdfc_0001,mutual_funds,CREDIT,SIP,28000.00,MF/CR/PURCHASE/ICICI PRUDENTIAL BLUECHIP/2025-06,868000.00
TXN_PRIYA_SRC_DEPOSIT_20250607_0013,2025-06-07,2025-06-07T08:45:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,CARD,130.00,CARD/DE/GOOGLE ONE,313314.00
TXN_PRIYA_SRC_DEPOSIT_20250607_0019,2025-06-07,2025-06-07T10:49:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,2343.00,UPI/DE/BREWERY,310971.00
TXN_PRIYA_SRC_DEPOSIT_20250607_0035,2025-06-07,2025-06-07T18:44:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,1390.00,UPI/DE/PAPA,309581.00
TXN_PRIYA_SRC_DEPOSIT_20250608_0004,2025-06-08,2025-06-08T10:05:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,NACH,24500.00,NACH/DE/HDFC CREDILA EDUCATION LOAN/2025-06,285081.00
TXN_PRIYA_SRC_DEPOSIT_20250609_0020,2025-06-09,2025-06-09T08:03:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,606.00,UPI/DE/PAYTMQR2819,284475.00
TXN_PRIYA_SRC_DEPOSIT_20250609_0005,2025-06-09,2025-06-09T10:05:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,FT,35000.00,FT/DE/PAPA SBI/2025-06,249475.00
TXN_PRIYA_SRC_DEPOSIT_20250610_0027,2025-06-10,2025-06-10T19:41:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,219.00,UPI/DE/PARKING FEE,249256.00
TXN_PRIYA_SRC_DEPOSIT_20250611_0042,2025-06-11,2025-06-11T09:35:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,NACH,18000.00,NACH/DE/HDFC RECURRING DEPOSIT/2025-06,231256.00
TXN_PRIYA_SRC_RECURRING_DEPOSIT_20250611_0043,2025-06-11,2025-06-11T10:00:00+05:30,acc_rd_priya_hdfc_0001,recurring_deposit,CREDIT,NACH,18000.00,RD/CR/INSTALLMENT/2025-06,108000.00
TXN_PRIYA_SRC_DEPOSIT_20250612_0006,2025-06-12,2025-06-12T10:05:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,8500.00,UPI/DE/MEENA HOUSEHELP/2025-06,222756.00
TXN_PRIYA_SRC_DEPOSIT_20250613_0014,2025-06-13,2025-06-13T08:45:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,CARD,129.00,CARD/DE/YOUTUBE PREMIUM,222627.00
TXN_PRIYA_SRC_DEPOSIT_20250613_0031,2025-06-13,2025-06-13T12:05:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,UPI,1831.00,UPI/DE/CAKE SHOP,220796.00
TXN_PRIYA_SRC_DEPOSIT_20250614_0040,2025-06-14,2025-06-14T09:45:00+05:30,acc_deposit_priya_hdfc_0001,deposit,DEBIT,NACH,12000.00,NACH/DE/NPS TIER I/2025-06,208796.00
TXN_PRIYA_SRC_MUTUAL_FUNDS_20250614_0041,2025-06-14,2025-06-14T10:30:00+05:30,acc_mf_priya_hdfc_0001,mutual_funds,CREDIT,SIP,12000.00,MF/CR/PURCHASE/NPS TIER I/2025-06,880000.00
